"","R2","p.value"
"07_17_14_2",0.401736725898039,3.58024079293905e-230
"07_17_14_3",0.274000451197373,1.49059008679177e-142
"07_17_14_1",0.224879995178824,5.90787006219174e-113
"08_20_16_2",0.204211507598057,4.54590167763332e-101
"08_22_18",0.190478594139802,2.40584039928561e-93
"08_20_16_1",0.182081528088116,1.0905422484227e-88
"06_16_13_2",0.156032190385355,2.9507855441585e-79
"09_31_20_1",0.161097710011367,2.69956700265035e-78
"06_16_13_4",0.150698022921503,2.20632496948725e-76
"06_16_13_1",0.143548087999496,1.47212772527852e-72
"06_16_13_5",0.135162146907902,4.10810232520471e-68
"09_31_20_2",0.140535783698589,2.32688236158144e-66
"10_32_19_2",0.139134292129513,1.2591998905356e-65
"10_32_19_5",0.124175172528888,7.05993418446179e-58
"09_31_20_3",0.120836625960896,3.6199328143448e-56
"10_32_19_6",0.11528822406847,2.42585046310457e-53
"10_32_19_3",0.112210871954939,8.7905391872717e-52
"09_31_20_4",0.108408748464448,7.28075578412442e-50
"10_32_19_1",0.106549606424129,6.26346938198651e-49
"09_31_20_5",0.0942248854137369,8.67279114794869e-43
"10_32_19_4",0.0673997367645294,9.42715194881877e-30
"10_32_19_8",0.0597785865634636,3.91570004517416e-26
"10_32_19_7",0.0389024414594211,1.94882863345513e-16
"06_16_13_6",0.0312976848986422,3.32452353599815e-16
"11_19_15_5",0.0268325951352514,4.28913143595933e-13
"11_19_15_1",0.0242338639633172,6.99828645036261e-12
"11_19_15_3",0.0220980214885721,6.90565803692917e-11
"11_19_15_9",0.0188473593242976,2.22944196377715e-09
"11_19_15_2",0.0183412268500267,3.82558813905195e-09
"11_19_15_4",0.00699058442037068,0.000645913941233747
"16_12_09",0.00737708636061469,0.00143479143580999
"11_19_15_10",0.00516540028434861,0.00441746146979498
"11_19_15_11",0.00448954258550847,0.00899456801888383
